
day,hr,days,trips,trips_per_day
1,0,141,588,4.170212765957447
1,1,129,396,3.0697674418604652
1,2,99,232,2.3434343434343434
1,3,61,104,1.7049180327868851
1,4,40,56,1.4
1,5,81,162,2.0
1,6,130,343,2.6384615384615384
1,7,151,729,4.827814569536423
1,8,156,1365,8.75
1,9,156,2763,17.71153846153846
1,10,156,3656,23.435897435897434
1,11,157,4494,28.62420382165605
1,12,157,4842,30.840764331210192
1,13,157,4918,31.32484076433121
1,14,157,4805,30.605095541401273
1,15,157,4961,31.598726114649683
1,16,157,4578,29.159235668789808
1,17,157,3785,24.10828025477707
1,18,156,2829,18.134615384615383
1,19,156,2083,13.352564102564102
1,20,155,1448,9.341935483870968
1,21,149,1075,7.214765100671141
1,22,148,693,4.6824324324324325
1,23,141,470,3.3333333333333335
2,0,92,228,2.4782608695652173
2,1,57,119,2.087719298245614
2,2,37,74,2.0
2,3,76,101,1.3289473684210527
2,4,122,260,2.1311475409836067
2,5,153,865,5.65359477124183
2,6,157,3840,24.45859872611465
2,7,156,12992,83.28205128205128
2,8,157,25443,162.05732484076432
2,9,157,17541,111.72611464968153
2,10,157,6774,43.146496815286625
2,11,157,5457,34.75796178343949
2,12,157,6462,41.15923566878981
2,13,157,5818,37.05732484076433
2,14,157,4952,31.54140127388535
2,15,157,6847,43.611464968152866
2,16,157,15569,99.1656050955414
2,17,157,24706,157.36305732484075
2,18,157,16016,102.01273885350318
2,19,157,7662,48.802547770700635
2,20,157,3874,24.67515923566879
2,21,157,2383,15.178343949044587
2,22,157,1286,8.19108280254777
2,23,152,668,4.394736842105263
3,0,129,302,2.3410852713178296
3,1,70,111,1.5857142857142856
3,2,52,65,1.25
3,3,68,75,1.1029411764705883
3,4,120,259,2.158333333333333
3,5,154,1056,6.857142857142857
3,6,157,4510,28.726114649681527
3,7,157,14497,92.3375796178344
3,8,157,28138,179.22292993630575
3,9,157,18873,120.21019108280255
3,10,157,6934,44.1656050955414
3,11,157,6044,38.496815286624205
3,12,157,7524,47.92356687898089
3,13,157,6379,40.63057324840764
