
start_station_name,end_station_name,trips
Harry Bridges Plaza (Ferry Building),Embarcadero at Sansome,9150
San Francisco Caltrain 2 (330 Townsend),Townsend at 7th,8508
2nd at Townsend,Harry Bridges Plaza (Ferry Building),7620
Harry Bridges Plaza (Ferry Building),2nd at Townsend,6888
Embarcadero at Sansome,Steuart at Market,6874
Townsend at 7th,San Francisco Caltrain 2 (330 Townsend),6836
Embarcadero at Folsom,San Francisco Caltrain (Townsend at 4th),6351
San Francisco Caltrain (Townsend at 4th),Harry Bridges Plaza (Ferry Building),6215
Steuart at Market,2nd at Townsend,6039
Steuart at Market,San Francisco Caltrain (Townsend at 4th),5959
Temporary Transbay Terminal (Howard at Beale),San Francisco Caltrain (Townsend at 4th),5796
Harry Bridges Plaza (Ferry Building),San Francisco Caltrain (Townsend at 4th),5395
Townsend at 7th,San Francisco Caltrain (Townsend at 4th),5358
2nd at South Park,Market at Sansome,5337
San Francisco Caltrain (Townsend at 4th),Temporary Transbay Terminal (Howard at Beale),5196
Market at 10th,San Francisco Caltrain 2 (330 Townsend),5118
Steuart at Market,Embarcadero at Sansome,5110
Market at Sansome,2nd at South Park,5063
Embarcadero at Sansome,Harry Bridges Plaza (Ferry Building),4737
San Francisco Caltrain 2 (330 Townsend),Powell Street BART,4492
San Francisco Caltrain (Townsend at 4th),Embarcadero at Folsom,4440
San Francisco Caltrain 2 (330 Townsend),5th at Howard,4433
Powell Street BART,San Francisco Caltrain 2 (330 Townsend),4417
San Francisco Caltrain (Townsend at 4th),Steuart at Market,4367
Howard at 2nd,San Francisco Caltrain (Townsend at 4th),4304
2nd at Townsend,Steuart at Market,4273
Mountain View Caltrain Station,Mountain View City Hall,3852
Market at 4th,San Francisco Caltrain (Townsend at 4th),3818
San Francisco Caltrain (Townsend at 4th),Market at Sansome,3801
Townsend at 7th,Civic Center BART (7th at Market),3771
San Francisco Caltrain 2 (330 Townsend),Market at 10th,3755
Market at Sansome,San Francisco Caltrain (Townsend at 4th),3749
Civic Center BART (7th at Market),Townsend at 7th,3698
Market at 10th,San Francisco Caltrain (Townsend at 4th),3610
2nd at Folsom,Market at Sansome,3597
Mountain View City Hall,Mountain View Caltrain Station,3520
San Francisco Caltrain (Townsend at 4th),Howard at 2nd,3468
Beale at Market,San Francisco Caltrain (Townsend at 4th),3451
2nd at Folsom,San Francisco Caltrain (Townsend at 4th),3292
5th at Howard,San Francisco Caltrain 2 (330 Townsend),3222
Santa Clara at Almaden,San Jose Diridon Caltrain Station,3215
Temporary Transbay Terminal (Howard at Beale),2nd at Townsend,3207
San Francisco Caltrain (Townsend at 4th),Townsend at 7th,3196
San Jose Diridon Caltrain Station,Santa Clara at Almaden,3171
Steuart at Market,San Francisco Caltrain 2 (330 Townsend),3162
Grant Avenue at Columbus Avenue,Market at Sansome,3153
Market at 10th,Market at 4th,3146
Embarcadero at Bryant,San Francisco Caltrain (Townsend at 4th),3043
San Francisco Caltrain 2 (330 Townsend),Harry Bridges Plaza (Ferry Building),3027
Temporary Transbay Terminal (Howard at Beale),San Francisco Caltrain 2 (330 Townsend),2963
Powell Street BART,Market at 10th,2870
Embarcadero at Sansome,Embarcadero at Sansome,2866
2nd at Townsend,Market at Sansome,2830
San Francisco Caltrain 2 (330 Townsend),Embarcadero at Folsom,2828
San Francisco Caltrain (Townsend at 4th),Davis at Jackson,2687
Davis at Jackson,San Francisco Caltrain (Townsend at 4th),2642
Clay at Battery,San Francisco Caltrain (Townsend at 4th),2631
San Francisco Caltrain 2 (330 Townsend),Temporary Transbay Terminal (Howard at Beale),2594
Yerba Buena Center of the Arts (3rd @ Howard),San Francisco Caltrain (Townsend at 4th),2592
