
year,month,subscriber_trips,customer_trips,total_trips,pct_subscriber
2013,8,929,1173,2102,44.19600380589914
2013,9,15767,9476,25243,62.46088024402805
2013,10,22979,6126,29105,78.95207009104965
2013,11,19730,4489,24219,81.46496552293654
2013,12,16659,3235,19894,83.73881572333367
2014,1,21018,3410,24428,86.04060913705584
2014,2,16565,2459,19024,87.0742220353238
2014,3,20584,4009,24593,83.6986134265848
2014,4,22138,4083,26221,84.42851149841731
2014,5,23377,5125,28502,82.01880569784576
2014,6,25150,4832,29982,83.8836635314522
2014,7,26127,5152,31279,83.52888519453947
2014,8,25506,5709,31215,81.71071600192215
2014,9,27456,4226,31682,86.66119563158891
2014,10,29833,4387,34220,87.18001168907072
2014,11,22623,2893,25516,88.66201598996707
2014,12,17386,2291,19677,88.35696498449967
2015,1,25068,2772,27840,90.04310344827586
2015,2,23688,2713,26401,89.72387409567818
2015,3,27752,3874,31626,87.75058496174034
2015,4,28038,3325,31363,89.39833561840386
2015,5,25545,3995,29540,86.47596479350034
2015,6,27868,4039,31907,87.34133575704391
2015,7,27652,4824,32476,85.1459539352137
2015,8,27308,4596,31904,85.59428284854563
2015,9,26788,3608,30396,88.13001710751415
2015,10,27528,3525,31053,88.64843976427397
2015,11,21367,1989,23356,91.48398698407262
2015,12,17120,1270,18390,93.09407286568788
2016,1,17989,1531,19520,92.15676229508196
2016,2,21870,2690,24560,89.04723127035831
2016,3,23283,2275,25558,91.09867751780264
2016,4,24042,2570,26612,90.34270254020743
2016,5,24701,3621,28322,87.21488595438174
2016,6,26507,3276,29783,89.00043649061546
2016,7,22608,3176,25784,87.68228358672044
2016,8,26290,4065,30355,86.60846647998682
