
day,subscriber_trips,customer_trips,total_trips
2013-08-29,461,287,748
2013-08-30,308,406,714
2013-09-02,162,499,661
2013-09-03,312,285,597
2013-09-04,370,236,606
2013-09-05,399,278,677
2013-09-06,461,353,814
2013-09-09,502,267,769
2013-09-10,628,264,892
2013-09-11,623,257,880
2013-09-12,677,265,942
2013-09-13,676,305,981
2013-09-16,676,238,914
2013-09-17,779,294,1073
2013-09-18,841,269,1110
2013-09-19,793,251,1044
2013-09-20,791,311,1102
2013-09-23,812,238,1050
2013-09-24,836,239,1075
2013-09-25,891,373,1264
2013-09-26,849,233,1082
2013-09-27,840,261,1101
2013-09-30,849,127,976
2013-10-01,909,163,1072
2013-10-02,877,184,1061
2013-10-03,885,273,1158
2013-10-04,844,244,1088
2013-10-07,818,146,964
2013-10-08,881,137,1018
2013-10-09,919,150,1069
2013-10-10,895,191,1086
2013-10-11,833,181,1014
2013-10-14,830,220,1050
2013-10-15,941,232,1173
2013-10-16,979,186,1165
2013-10-17,1001,226,1227
2013-10-18,852,251,1103
2013-10-21,869,146,1015
2013-10-22,917,109,1026
2013-10-23,934,95,1029
2013-10-24,945,108,1053
2013-10-25,917,131,1048
2013-10-28,898,69,967
2013-10-29,924,84,1008
2013-10-30,1017,105,1122
2013-10-31,993,157,1150
2013-11-01,953,167,1120
2013-11-04,1014,114,1128
2013-11-05,1008,150,1158
2013-11-06,952,133,1085
2013-11-07,1036,161,1197
2013-11-08,960,212,1172
2013-11-11,845,141,986
2013-11-12,1042,112,1154
2013-11-13,936,66,1002
2013-11-14,1036,79,1115
2013-11-15,958,173,1131
2013-11-18,930,78,1008
2013-11-19,693,57,750
2013-11-20,591,34,625
2013-11-21,1003,99,1102
2013-11-22,882,113,995
2013-11-25,922,97,1019
2013-11-26,901,103,1004
2013-11-27,654,66,720
2013-11-28,108,164,272
2013-11-29,192,192,384
2013-12-02,853,25,878
2013-12-03,887,30,917
2013-12-04,941,51,992
2013-12-05,861,75,936
2013-12-06,658,69,727
2013-12-09,779,28,807
2013-12-10,816,62,878
2013-12-11,833,70,903
2013-12-12,881,85,966
2013-12-13,825,137,962
2013-12-16,840,106,946
2013-12-17,902,73,975
2013-12-18,871,57,928
2013-12-19,835,100,935
2013-12-20,759,108,867
2013-12-23,541,110,651
2013-12-24,235,101,336
2013-12-25,84,276,360
2013-12-26,320,102,422
2013-12-27,316,109,425
2013-12-30,479,126,605
2013-12-31,348,157,505
2014-01-01,124,235,359
2014-01-02,638,129,767
2014-01-03,651,128,779
2014-01-06,840,75,915
2014-01-07,914,53,967
