
daytype,hr,days,trips,trips_per_day
weekday,0,636,1696,2.6666666666666665
weekday,1,425,797,1.8752941176470588
weekday,2,260,420,1.6153846153846154
weekday,3,344,427,1.2412790697674418
weekday,4,599,1273,2.1252086811352253
weekday,5,760,4799,6.314473684210526
weekday,6,779,19830,25.45571245186136
weekday,7,782,65900,84.27109974424552
weekday,8,783,128999,164.74968071519797
weekday,9,785,90264,114.98598726114649
weekday,10,785,34888,44.44331210191083
weekday,11,785,30712,39.12356687898089
weekday,12,785,36382,46.34649681528663
weekday,13,785,33029,42.07515923566879
weekday,14,785,27590,35.146496815286625
weekday,15,785,37424,47.67388535031847
weekday,16,785,79000,100.63694267515923
weekday,17,785,118332,150.74140127388534
weekday,18,785,78188,99.60254777070064
weekday,19,784,36584,46.66326530612245
weekday,20,784,19492,24.862244897959183
weekday,21,784,12828,16.362244897959183
weekday,22,783,8343,10.655172413793103
weekday,23,772,4797,6.213730569948186
weekend,0,292,1233,4.222602739726027
weekend,1,267,814,3.048689138576779
weekend,2,209,457,2.186602870813397
weekend,3,107,178,1.6635514018691588
weekend,4,83,125,1.5060240963855422
weekend,5,165,299,1.812121212121212
weekend,6,266,689,2.5902255639097747
weekend,7,306,1631,5.330065359477124
weekend,8,313,3465,11.070287539936102
weekend,9,313,5854,18.702875399361023
weekend,10,313,7894,25.22044728434505
weekend,11,314,9695,30.87579617834395
weekend,12,314,10568,33.65605095541401
weekend,13,314,10685,34.02866242038217
weekend,14,314,10262,32.681528662420384
weekend,15,314,10202,32.49044585987261
weekend,16,314,9755,31.06687898089172
weekend,17,314,7970,25.38216560509554
weekend,18,313,6381,20.38658146964856
weekend,19,313,4487,14.335463258785943
weekend,20,310,3255,10.5
weekend,21,302,2430,8.04635761589404
weekend,22,303,1927,6.35973597359736
weekend,23,296,1398,4.722972972972973
