
start_station_name,end_station_name,trips
San Francisco Caltrain 2 (330 Townsend),Townsend at 7th,5335
Harry Bridges Plaza (Ferry Building),2nd at Townsend,5127
Steuart at Market,2nd at Townsend,4509
San Francisco Caltrain (Townsend at 4th),Harry Bridges Plaza (Ferry Building),4338
Harry Bridges Plaza (Ferry Building),Embarcadero at Sansome,4103
Embarcadero at Sansome,Steuart at Market,3987
Townsend at 7th,San Francisco Caltrain 2 (330 Townsend),3930
San Francisco Caltrain (Townsend at 4th),Embarcadero at Folsom,3766
San Francisco Caltrain (Townsend at 4th),Steuart at Market,3583
2nd at Townsend,Harry Bridges Plaza (Ferry Building),3562
San Francisco Caltrain (Townsend at 4th),Temporary Transbay Terminal (Howard at Beale),3535
2nd at South Park,Market at Sansome,3498
Steuart at Market,Embarcadero at Sansome,3411
Market at Sansome,2nd at South Park,3369
Market at 10th,San Francisco Caltrain 2 (330 Townsend),3319
Steuart at Market,San Francisco Caltrain (Townsend at 4th),3304
Temporary Transbay Terminal (Howard at Beale),San Francisco Caltrain (Townsend at 4th),3276
Townsend at 7th,San Francisco Caltrain (Townsend at 4th),3115
San Francisco Caltrain (Townsend at 4th),Market at Sansome,3106
Mountain View Caltrain Station,Mountain View City Hall,3050
San Francisco Caltrain 2 (330 Townsend),Market at 10th,3044
Harry Bridges Plaza (Ferry Building),San Francisco Caltrain (Townsend at 4th),3010
2nd at Townsend,Steuart at Market,2955
San Francisco Caltrain 2 (330 Townsend),5th at Howard,2910
Embarcadero at Folsom,San Francisco Caltrain (Townsend at 4th),2901
San Francisco Caltrain (Townsend at 4th),Howard at 2nd,2843
Civic Center BART (7th at Market),Townsend at 7th,2833
San Francisco Caltrain 2 (330 Townsend),Powell Street BART,2823
Powell Street BART,San Francisco Caltrain 2 (330 Townsend),2793
Howard at 2nd,San Francisco Caltrain (Townsend at 4th),2548
Temporary Transbay Terminal (Howard at Beale),2nd at Townsend,2547
Market at 10th,San Francisco Caltrain (Townsend at 4th),2521
San Jose Diridon Caltrain Station,Santa Clara at Almaden,2466
San Francisco Caltrain (Townsend at 4th),Davis at Jackson,2434
San Francisco Caltrain 2 (330 Townsend),Embarcadero at Folsom,2396
Mountain View City Hall,Mountain View Caltrain Station,2273
San Francisco Caltrain 2 (330 Townsend),Harry Bridges Plaza (Ferry Building),2181
San Francisco Caltrain 2 (330 Townsend),Steuart at Market,2119
San Francisco Caltrain 2 (330 Townsend),Howard at 2nd,2118
San Francisco Caltrain (Townsend at 4th),Townsend at 7th,2100
San Francisco Caltrain (Townsend at 4th),Yerba Buena Center of the Arts (3rd @ Howard),2089
Steuart at Market,San Francisco Caltrain 2 (330 Townsend),2083
5th at Howard,San Francisco Caltrain 2 (330 Townsend),1969
Embarcadero at Bryant,San Francisco Caltrain (Townsend at 4th),1956
2nd at Folsom,Market at Sansome,1956
Temporary Transbay Terminal (Howard at Beale),San Francisco Caltrain 2 (330 Townsend),1939
San Francisco Caltrain (Townsend at 4th),Market at 10th,1927
2nd at Folsom,San Francisco Caltrain (Townsend at 4th),1900
San Francisco Caltrain 2 (330 Townsend),Market at Sansome,1880
San Francisco Caltrain 2 (330 Townsend),Temporary Transbay Terminal (Howard at Beale),1856
Market at 4th,San Francisco Caltrain (Townsend at 4th),1819
Market at 10th,Market at 4th,1804
Market at Sansome,2nd at Townsend,1761
Townsend at 7th,Civic Center BART (7th at Market),1754
Temporary Transbay Terminal (Howard at Beale),Townsend at 7th,1722
San Francisco Caltrain (Townsend at 4th),Beale at Market,1702
Market at Sansome,San Francisco Caltrain (Townsend at 4th),1686
Mountain View Caltrain Station,Castro Street and El Camino Real,1686
Temporary Transbay Terminal (Howard at Beale),5th at Howard,1669
San Francisco Caltrain (Townsend at 4th),Clay at Battery,1659
Embarcadero at Sansome,Harry Bridges Plaza (Ferry Building),1652
Santa Clara at Almaden,San Jose Diridon Caltrain Station,1636
San Francisco Caltrain (Townsend at 4th),2nd at Townsend,1631
Yerba Buena Center of the Arts (3rd @ Howard),San Francisco Caltrain (Townsend at 4th),1625
Broadway St at Battery St,San Francisco Caltrain (Townsend at 4th),1622
Embarcadero at Folsom,San Francisco Caltrain 2 (330 Townsend),1621
Castro Street and El Camino Real,Mountain View Caltrain Station,1584
5th at Howard,San Francisco Caltrain (Townsend at 4th),1549
San Francisco Caltrain (Townsend at 4th),Embarcadero at Sansome,1548
Harry Bridges Plaza (Ferry Building),Townsend at 7th,1513
San Francisco Caltrain (Townsend at 4th),Embarcadero at Bryant,1495
2nd at Townsend,Market at Sansome,1493
