
day,trips,subscriber_type
2013-08-29,287,Customer
2013-08-30,406,Customer
2013-08-31,480,Customer
2013-09-01,584,Customer
2013-09-02,499,Customer
2013-09-03,285,Customer
2013-09-04,236,Customer
2013-09-05,278,Customer
2013-09-06,353,Customer
2013-09-07,554,Customer
2013-09-08,505,Customer
2013-09-09,267,Customer
2013-09-10,264,Customer
2013-09-11,257,Customer
2013-09-12,265,Customer
2013-09-13,305,Customer
2013-09-14,441,Customer
2013-09-15,388,Customer
2013-09-16,238,Customer
2013-09-17,294,Customer
2013-09-18,269,Customer
2013-09-19,251,Customer
2013-09-20,311,Customer
2013-09-21,185,Customer
2013-09-22,360,Customer
2013-09-23,238,Customer
2013-09-24,239,Customer
2013-09-25,373,Customer
2013-09-26,233,Customer
2013-09-27,261,Customer
2013-09-28,349,Customer
2013-09-29,267,Customer
2013-09-30,127,Customer
2013-10-01,163,Customer
2013-10-02,184,Customer
2013-10-03,273,Customer
2013-10-04,244,Customer
2013-10-05,405,Customer
2013-10-06,355,Customer
2013-10-07,146,Customer
2013-10-08,137,Customer
2013-10-09,150,Customer
2013-10-10,191,Customer
2013-10-11,181,Customer
2013-10-12,346,Customer
2013-10-13,309,Customer
2013-10-14,220,Customer
2013-10-15,232,Customer
2013-10-16,186,Customer
2013-10-17,226,Customer
2013-10-18,251,Customer
2013-10-19,350,Customer
2013-10-20,239,Customer
2013-10-21,146,Customer
2013-10-22,109,Customer
2013-10-23,95,Customer
2013-10-24,108,Customer
2013-10-25,131,Customer
2013-10-26,230,Customer
2013-10-27,104,Customer
2013-10-28,69,Customer
2013-10-29,84,Customer
2013-10-30,105,Customer
2013-10-31,157,Customer
2013-11-01,167,Customer
2013-11-02,279,Customer
2013-11-03,162,Customer
2013-11-04,114,Customer
2013-11-05,150,Customer
2013-11-06,133,Customer
2013-11-07,161,Customer
2013-11-08,212,Customer
2013-11-09,325,Customer
2013-11-10,255,Customer
2013-11-11,141,Customer
2013-11-12,112,Customer
2013-11-13,66,Customer
2013-11-14,79,Customer
2013-11-15,173,Customer
2013-11-16,197,Customer
2013-11-17,177,Customer
2013-11-18,78,Customer
2013-11-19,57,Customer
2013-11-20,34,Customer
2013-11-21,99,Customer
2013-11-22,113,Customer
2013-11-23,282,Customer
2013-11-24,159,Customer
2013-11-25,97,Customer
2013-11-26,103,Customer
2013-11-27,66,Customer
2013-11-28,164,Customer
2013-11-29,192,Customer
2013-11-30,142,Customer
2013-12-01,117,Customer
2013-12-02,25,Customer
2013-12-03,30,Customer
2013-12-04,51,Customer
2013-12-05,75,Customer
2013-12-06,69,Customer
2013-12-07,85,Customer
2013-12-08,73,Customer
2013-12-09,28,Customer
2013-12-10,62,Customer
2013-12-11,70,Customer
2013-12-12,85,Customer
2013-12-13,137,Customer
2013-12-14,127,Customer
2013-12-15,115,Customer
2013-12-16,106,Customer
2013-12-17,73,Customer
2013-12-18,57,Customer
2013-12-19,100,Customer
2013-12-20,108,Customer
2013-12-21,120,Customer
2013-12-22,143,Customer
2013-12-23,110,Customer
2013-12-24,101,Customer
2013-12-25,276,Customer
2013-12-26,102,Customer
2013-12-27,109,Customer
2013-12-28,224,Customer
2013-12-29,174,Customer
2013-12-30,126,Customer
2013-12-31,157,Customer
2014-01-01,235,Customer
2014-01-02,129,Customer
2014-01-03,128,Customer
2014-01-04,130,Customer
2014-01-05,105,Customer
2014-01-06,75,Customer
2014-01-07,53,Customer
2014-01-08,76,Customer
2014-01-09,112,Customer
2014-01-10,110,Customer
2014-01-11,85,Customer
2014-01-12,184,Customer
2014-01-13,76,Customer
2014-01-14,83,Customer
2014-01-15,102,Customer
2014-01-16,93,Customer
2014-01-17,127,Customer
2014-01-18,221,Customer
2014-01-19,221,Customer
2014-01-20,150,Customer
2014-01-21,60,Customer
2014-01-22,80,Customer
2014-01-23,121,Customer
2014-01-24,81,Customer
2014-01-25,189,Customer
2014-01-26,162,Customer
2014-01-27,6,Customer
2014-01-28,61,Customer
2014-01-29,45,Customer
2014-01-30,41,Customer
2014-01-31,69,Customer
2014-02-01,158,Customer
2014-02-02,61,Customer
2014-02-03,74,Customer
2014-02-04,65,Customer
2014-02-05,49,Customer
2014-02-06,32,Customer
2014-02-07,25,Customer
2014-02-08,22,Customer
2014-02-09,13,Customer
2014-02-10,64,Customer
2014-02-11,44,Customer
2014-02-12,86,Customer
2014-02-13,76,Customer
2014-02-14,113,Customer
2014-02-15,192,Customer
2014-02-16,195,Customer
2014-02-17,162,Customer
2014-02-18,113,Customer
2014-02-19,99,Customer
2014-02-20,70,Customer
2014-02-21,100,Customer
2014-02-22,222,Customer
2014-02-23,157,Customer
2014-02-24,51,Customer
2014-02-25,86,Customer
2014-02-26,23,Customer
2014-02-27,63,Customer
2014-02-28,44,Customer
2014-03-01,125,Customer
2014-03-02,67,Customer
2014-03-03,40,Customer
2014-03-04,48,Customer
2014-03-05,75,Customer
2014-03-06,84,Customer
2014-03-07,90,Customer
2014-03-08,187,Customer
2014-03-09,291,Customer
2014-03-10,105,Customer
2014-03-11,115,Customer
2014-03-12,74,Customer
2014-03-13,145,Customer
2014-03-14,148,Customer
2014-03-15,282,Customer
2014-03-16,255,Customer
2014-03-17,115,Customer
2014-03-18,117,Customer
2014-03-19,168,Customer
2014-03-20,144,Customer
2014-03-21,145,Customer
2014-03-22,236,Customer
2014-03-23,191,Customer
